headline,date,doc_type,material_type,section,keywords,source,news_desk,word_count
This Should Be Biden’s Bumper Sticker,2020-07-01,article,Op-Ed,,"['Presidential Election of 2020', 'Coronavirus (2019-nCoV)', 'United States Politics and Government']",The New York Times,OpEd,1360
"Corrections: July 1, 2020",2020-07-01,article,Correction,,[],The New York Times,Corrections,142
Why Does Trump Put Russia First?,2020-07-01,article,Op-Ed,,"['United States Politics and Government', 'United States Defense and Military Forces', 'United States International Relations', 'Afghanistan War (2001- )', 'Espionage and Intelligence Services']",The New York Times,OpEd,970
Senate Approves Extending Small-Business Program,2020-07-01,article,News,,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Small Business', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'United States Economy']",The New York Times,Washington,559
Quotation of the Day: The Fight Over Abortion Rights Feels Less Urgent for a Generation,2020-07-01,article,Quote,,[],The New York Times,Summary,54
"Tulsa Police Sergeant, One of Two Officers Shot During Traffic Stop, Dies",2020-07-01,article,News,,"['Murders, Attempted Murders and Homicides']",The New York Times,Express,610
Connections on Air France,2020-07-01,article,News,,['Crossword Puzzles'],The New York Times,Games,923
Mississippi Governor Signs Law to Remove Flag With Confederate Emblem,2020-07-01,article,News,,"['Flags, Emblems and Insignia', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Civil War (US) (1861-65)', 'Law and Legislation']",The New York Times,National,399
Eight Police Officers in Louisiana Face Charges of Excessive Force,2020-07-01,article,News,,"['Police Brutality, Misconduct and Shootings']",The New York Times,Express,772
"Harsh Penalties, Vaguely Defined Crimes: Hong Kong’s Security Law Explained",2020-07-01,article,News,,"['Law and Legislation', 'Hong Kong Protests (2019)', 'Secession and Independence Movements', 'Politics and Government', 'International Relations']",The New York Times,Foreign,1251
Jared Kushner Makes Trump Campaign Change After Rally Fiasco,2020-07-01,article,News,,['Presidential Election of 2020'],The New York Times,Politics,462
"Lauren Boebert, Gun-Rights Activist, Upsets House G.O.P. Incumbent in Colorado",2020-07-01,article,News,,"['United States Politics and Government', 'Elections, House of Representatives']",The New York Times,Washington,584
"Europe Travel, Hong Kong Law, Russia: Your Wednesday Briefing",2020-07-01,article,briefing,,[],The New York Times,NYTNow,1524
